# source_commit: placeholder
# generated: 2026-06-06T00:00:00Z
# generator: ported from sources/hallulens_mi_hallucination/data/headline_results.csv (upstream HalluLens commit 498bb52, scripts/aggregate_headline_results.py). Headline hallucination-detection AUROC: 2 models x 5 datasets x 12 methods, 5 seeds. Our method = contrastive_logprob_recon; strongest learned baseline = act_vit.
# key_schema: model:dataset:method
# default_precision: 3
model,dataset,method,auroc_mean,auroc_std,n_seeds,forward_pass_count
Llama-3.1-8B-Instruct,hotpotqa,logprob_baseline,0.6115,0.0,1,1
Llama-3.1-8B-Instruct,hotpotqa,token_entropy,0.5973,0.0,1,1
Llama-3.1-8B-Instruct,hotpotqa,p_true,0.58,0.0,1,2
Llama-3.1-8B-Instruct,hotpotqa,linear_probe,0.8183,0.0004,5,1
Llama-3.1-8B-Instruct,hotpotqa,saplma,0.6891,0.0031,5,1
Llama-3.1-8B-Instruct,hotpotqa,llmsknow_probe,0.8281,0.0019,5,1
Llama-3.1-8B-Instruct,hotpotqa,act_vit,0.8488,0.0042,5,1
Llama-3.1-8B-Instruct,hotpotqa,contrastive_logprob_recon,0.8511,0.0011,5,1
Llama-3.1-8B-Instruct,hotpotqa,se_length_normalized,0.6483,0.0,1,10
Llama-3.1-8B-Instruct,hotpotqa,se_semantic_entropy,0.4956,0.0,1,10
Llama-3.1-8B-Instruct,hotpotqa,selfcheck_nli,0.6054,0.0,1,10
Llama-3.1-8B-Instruct,hotpotqa,selfcheck_ngram,0.6225,0.0,1,10
Llama-3.1-8B-Instruct,nq,logprob_baseline,0.5954,0.0,1,1
Llama-3.1-8B-Instruct,nq,token_entropy,0.5898,0.0,1,1
Llama-3.1-8B-Instruct,nq,p_true,0.622,0.0,1,2
Llama-3.1-8B-Instruct,nq,linear_probe,0.7464,0.0015,5,1
Llama-3.1-8B-Instruct,nq,saplma,0.6112,0.007,5,1
Llama-3.1-8B-Instruct,nq,llmsknow_probe,0.7222,0.006,5,1
Llama-3.1-8B-Instruct,nq,act_vit,0.7679,0.004,5,1
Llama-3.1-8B-Instruct,nq,contrastive_logprob_recon,0.7547,0.0031,5,1
Llama-3.1-8B-Instruct,nq,se_length_normalized,0.5525,0.0,1,10
Llama-3.1-8B-Instruct,nq,se_semantic_entropy,0.5188,0.0,1,10
Llama-3.1-8B-Instruct,nq,selfcheck_nli,0.563,0.0,1,10
Llama-3.1-8B-Instruct,nq,selfcheck_ngram,0.5772,0.0,1,10
Llama-3.1-8B-Instruct,popqa,logprob_baseline,0.6314,0.0,1,1
Llama-3.1-8B-Instruct,popqa,token_entropy,0.6041,0.0,1,1
Llama-3.1-8B-Instruct,popqa,p_true,0.6716,0.0,1,2
Llama-3.1-8B-Instruct,popqa,linear_probe,0.8618,0.0011,5,1
Llama-3.1-8B-Instruct,popqa,saplma,0.7214,0.0048,5,1
Llama-3.1-8B-Instruct,popqa,llmsknow_probe,0.8705,0.0018,5,1
Llama-3.1-8B-Instruct,popqa,act_vit,0.7914,0.0146,5,1
Llama-3.1-8B-Instruct,popqa,contrastive_logprob_recon,0.8773,0.0026,5,1
Llama-3.1-8B-Instruct,popqa,se_length_normalized,0.6553,0.0,1,10
Llama-3.1-8B-Instruct,popqa,se_semantic_entropy,0.4902,0.0,1,10
Llama-3.1-8B-Instruct,popqa,selfcheck_nli,0.6819,0.0,1,10
Llama-3.1-8B-Instruct,popqa,selfcheck_ngram,0.644,0.0,1,10
Llama-3.1-8B-Instruct,sciq,logprob_baseline,0.5442,0.0,1,1
Llama-3.1-8B-Instruct,sciq,token_entropy,0.5423,0.0,1,1
Llama-3.1-8B-Instruct,sciq,p_true,0.5815,0.0,1,2
Llama-3.1-8B-Instruct,sciq,linear_probe,0.6978,0.0032,5,1
Llama-3.1-8B-Instruct,sciq,saplma,0.5778,0.0094,5,1
Llama-3.1-8B-Instruct,sciq,llmsknow_probe,0.7088,0.0066,5,1
Llama-3.1-8B-Instruct,sciq,act_vit,0.7632,0.0046,5,1
Llama-3.1-8B-Instruct,sciq,contrastive_logprob_recon,0.7686,0.0086,5,1
Llama-3.1-8B-Instruct,sciq,se_length_normalized,0.5608,0.0,1,10
Llama-3.1-8B-Instruct,sciq,se_semantic_entropy,0.5145,0.0,1,10
Llama-3.1-8B-Instruct,sciq,selfcheck_nli,0.5732,0.0,1,10
Llama-3.1-8B-Instruct,sciq,selfcheck_ngram,0.5197,0.0,1,10
Llama-3.1-8B-Instruct,searchqa,logprob_baseline,0.5694,0.0,1,1
Llama-3.1-8B-Instruct,searchqa,token_entropy,0.5637,0.0,1,1
Llama-3.1-8B-Instruct,searchqa,p_true,0.6097,0.0,1,2
Llama-3.1-8B-Instruct,searchqa,linear_probe,0.739,0.0021,5,1
Llama-3.1-8B-Instruct,searchqa,saplma,0.6089,0.0036,5,1
Llama-3.1-8B-Instruct,searchqa,llmsknow_probe,0.7412,0.0063,5,1
Llama-3.1-8B-Instruct,searchqa,act_vit,0.8148,0.0024,5,1
Llama-3.1-8B-Instruct,searchqa,contrastive_logprob_recon,0.8062,0.0022,5,1
Llama-3.1-8B-Instruct,searchqa,se_length_normalized,0.5734,0.0,1,10
Llama-3.1-8B-Instruct,searchqa,se_semantic_entropy,0.501,0.0,1,10
Llama-3.1-8B-Instruct,searchqa,selfcheck_nli,0.5937,0.0,1,10
Llama-3.1-8B-Instruct,searchqa,selfcheck_ngram,0.5217,0.0,1,10
Qwen3-8B,hotpotqa,logprob_baseline,0.6283,0.0,1,1
Qwen3-8B,hotpotqa,token_entropy,0.6341,0.0,1,1
Qwen3-8B,hotpotqa,p_true,0.6407,0.0,1,2
Qwen3-8B,hotpotqa,linear_probe,0.8635,0.0009,5,1
Qwen3-8B,hotpotqa,saplma,0.783,0.0025,5,1
Qwen3-8B,hotpotqa,llmsknow_probe,0.8549,0.0044,5,1
Qwen3-8B,hotpotqa,act_vit,0.88,0.0021,5,1
Qwen3-8B,hotpotqa,contrastive_logprob_recon,0.8746,0.0045,5,1
Qwen3-8B,hotpotqa,se_length_normalized,0.7346,0.0,1,10
Qwen3-8B,hotpotqa,se_semantic_entropy,0.5733,0.0,1,10
Qwen3-8B,hotpotqa,selfcheck_nli,0.6812,0.0,1,10
Qwen3-8B,hotpotqa,selfcheck_ngram,0.6903,0.0,1,10
Qwen3-8B,nq,logprob_baseline,0.6579,0.0,1,1
Qwen3-8B,nq,token_entropy,0.6564,0.0,1,1
Qwen3-8B,nq,p_true,0.6179,0.0,1,2
Qwen3-8B,nq,linear_probe,0.8088,0.0044,5,1
Qwen3-8B,nq,saplma,0.7096,0.0075,5,1
Qwen3-8B,nq,llmsknow_probe,0.7315,0.0236,5,1
Qwen3-8B,nq,act_vit,0.8419,0.0037,5,1
Qwen3-8B,nq,contrastive_logprob_recon,0.8237,0.0211,5,1
Qwen3-8B,nq,se_length_normalized,0.659,0.0,1,10
Qwen3-8B,nq,se_semantic_entropy,0.5505,0.0,1,10
Qwen3-8B,nq,selfcheck_nli,0.6811,0.0,1,10
Qwen3-8B,nq,selfcheck_ngram,0.6006,0.0,1,10
Qwen3-8B,popqa,logprob_baseline,0.7282,0.0,1,1
Qwen3-8B,popqa,token_entropy,0.706,0.0,1,1
Qwen3-8B,popqa,p_true,0.709,0.0,1,2
Qwen3-8B,popqa,linear_probe,0.9134,0.0006,5,1
Qwen3-8B,popqa,saplma,0.8124,0.0031,5,1
Qwen3-8B,popqa,llmsknow_probe,0.9036,0.0042,5,1
Qwen3-8B,popqa,act_vit,0.8301,0.0092,5,1
Qwen3-8B,popqa,contrastive_logprob_recon,0.9211,0.0029,5,1
Qwen3-8B,popqa,se_length_normalized,0.7797,0.0,1,10
Qwen3-8B,popqa,se_semantic_entropy,0.5563,0.0,1,10
Qwen3-8B,popqa,selfcheck_nli,0.8176,0.0,1,10
Qwen3-8B,popqa,selfcheck_ngram,0.7911,0.0,1,10
Qwen3-8B,sciq,logprob_baseline,0.5604,0.0,1,1
Qwen3-8B,sciq,token_entropy,0.5723,0.0,1,1
Qwen3-8B,sciq,p_true,0.6122,0.0,1,2
Qwen3-8B,sciq,linear_probe,0.7377,0.0033,5,1
Qwen3-8B,sciq,saplma,0.6268,0.0116,5,1
Qwen3-8B,sciq,llmsknow_probe,0.713,0.0162,5,1
Qwen3-8B,sciq,act_vit,0.7869,0.0053,5,1
Qwen3-8B,sciq,contrastive_logprob_recon,0.8161,0.007,5,1
Qwen3-8B,sciq,se_length_normalized,0.5792,0.0,1,10
Qwen3-8B,sciq,se_semantic_entropy,0.523,0.0,1,10
Qwen3-8B,sciq,selfcheck_nli,0.5945,0.0,1,10
Qwen3-8B,sciq,selfcheck_ngram,0.567,0.0,1,10
Qwen3-8B,searchqa,logprob_baseline,0.639,0.0,1,1
Qwen3-8B,searchqa,token_entropy,0.6422,0.0,1,1
Qwen3-8B,searchqa,p_true,0.7057,0.0,1,2
Qwen3-8B,searchqa,linear_probe,0.816,0.0009,5,1
Qwen3-8B,searchqa,saplma,0.7063,0.0051,5,1
Qwen3-8B,searchqa,llmsknow_probe,0.7417,0.0068,5,1
Qwen3-8B,searchqa,act_vit,0.8384,0.0019,5,1
Qwen3-8B,searchqa,contrastive_logprob_recon,0.8401,0.0023,5,1
Qwen3-8B,searchqa,se_length_normalized,0.6222,0.0,1,10
Qwen3-8B,searchqa,se_semantic_entropy,0.5039,0.0,1,10
Qwen3-8B,searchqa,selfcheck_nli,0.6884,0.0,1,10
Qwen3-8B,searchqa,selfcheck_ngram,0.6417,0.0,1,10
